chunk_0000.wav|ín dio zi nho, um Indiozinho, um Indiozinho, dois indiozinhos|ín dio zi nho, um Indiozinho, um Indiozinho, dois indiozinhos
chunk_0001.wav|índio em inglês é Indian, A Bela e a Fera, fim|índio em inglês é Indian, A Bela e a Fera, fim
chunk_0002.wav|Olá mille amigos sejam bem-vindos ao show da giramille, não se esqueçam de usar a hashtag show da Giramille|Olá mille amigos sejam bem-vindos ao show da giramille, não se esqueçam de usar a hashtag show da Giramille
chunk_0003.wav|pra que vocês possam conferir as novidades, inscreva-se no nosso canal, O Patinho fei|pra que vocês possam conferir as novidades, inscreva-se no nosso canal, O Patinho fei
chunk_0004.wav|mail, A Cigarra e a Formiga, a Lebre e a Tartaruga|mail, A Cigarra e a Formiga, a Lebre e a Tartaruga
chunk_0005.wav|milli Milli beijos para você, Os Três Porquinhos|milli Mili beijos para você, Os Três Porquinhos
chunk_0007.wav|é muito legal, é mesmo uma cor muito bonita, eles são tão molengas|é muito legal, é mesmo uma cor muito bonita, eles são tão molengas
chunk_0008.wav|Rararã, Ebaaa! você sabia que conseguimos criar todas as cores usando apenas ela|Rararã, Ebaaa! você sabia que conseguimos criar todas as cores usando apenas ela
chunk_0009.wav|elas, você sabia que conseguimos criar todas as cores usando apenas elas, já sei!|elas, você sabia que conseguimos criar todas as cores usando apenas elas, já sei!
chunk_0010.wav|uauu!! Ruauuu!, eu gosto muito do verde, você sabia|uauu! Ruauuu! eu gosto muito do verde, você sabia
chunk_0011.wav|ia para fazer o verde precisamos da cor azul, é amarelo, Olhem só, dançando a musiqui|ia para fazer o verde precisamos da cor azul, é amarelo, Olhem só, dançando a musiqui
chunk_0012.wav|quinha gira gira gira Mili, até a próxima brincadeira Mili Mili beijos! Olá mili ami|quinha gira gira gira Mili, até a próxima brincadeira Mili Mili beijos! Olá mili ami
chunk_0013.wav|migos|migos
chunk_0014.wav|por que eu estou super animada!, hoje vamos descobrir os sons ao nosso redor, vocês gostam|por que eu estou super animada!, hoje vamos descobrir os sons ao nosso redor, vocês gosta
chunk_0015.wav|tam de som, vejam Este é o tambor, temos uma flauta|tam de som, vejam Este é o tambor, temos uma flauta
chunk_0016.wav|cada instrumento tem um som único, agora, vamos Juntar|cada instrumento tem um som único, agora, vamos Juntar
chunk_0017.wav|todos os sons que aprendemos e criaram a nossa música, prontos?, prontos?|todos os sons que aprendemos e criaram a nossa música, prontos? prontos?
chunk_0018.wav|não foi divertido?, Olá mili amigos, porque eu es|não foi divertido?, Olá mili amigos, porque eu es
chunk_0019.wav|tou super empolgada!, perfeito!, então, olhem uma chave|tou super empolgada!, perfeito!, então, olhem uma chave
chunk_0020.wav||
chunk_0021.wav|Olá mili amigos vamos aprender a fazer origamis no circo comigo e nos divertir com gatinhos e cachorrinhos|Olá mili amigos vamos aprender a fazer origamis no circo comigo e nos divertir com gatinhos e cachorrinhoschunk_0000.wav|índiozinho um Indiozinho um Indiozinho dois indiozinhos|índiozinho um Indiozinho um Indiozinho dois indiozinhos
chunk_0022.wav|Olá mili amigos vamos aprender sobre as cores com tromba e nos divertir na Fazendinha|Olá mili amigos vamos aprender sobre as cores com tromba e nos divertir na Fazendinha
chunk_0023.wav|Boa tarde a todos|Boa tarde a todos
chunk_0024.wav|os que vieram na apresentação da escola hoje vamos aprender mais sobre algumas profissões, todas elas são muito importantes para o nosso dia a dia e é muito|os que vieram na apresentação da escola hoje vamos aprender mais sobre algumas profissões, todas elas são muito importantes para o nosso dia a dia e é muito
chunk_0025.wav|muito legal aprender um pouco sobre elas, nossa mili amigos vão apresentar as suas profissões favoritas vamos começar nesse instante olha que lindo|muito legal aprender um pouco sobre elas, nossa mili amigos vão apresentar as suas profissões favoritas vamos começar nesse instante olha que lindo
chunk_0026.wav|indo Olhem só amigos Essa é a Nina uma pintora muito talentosa aqui em seu ateliête de pintura ela transforma tela|indo Olhem só amigos Essa é a Nina uma pintora muito talentosa aqui em seu ateliête de pintura ela transforma tela
chunk_0027.wav|um Pura Magia criando paisagens encantadoras ela consegue usar toda a sua criatividade para criar o que ela quiser|um Pura Magia criando paisagens encantadoras ela consegue usar toda a sua criatividade para criar o que ela quiser
chunk_0028.wav|Só usando a sua imaginação vamos apreciar sua obra enquanto ela cria Olhem só eu sou o tuco o jardineiro da Floresta|Só usando a sua imaginação vamos apreciar sua obra enquanto ela cria Olhem só eu sou o tuco o jardineiro da Floresta
chunk_0029.wav|aqui no meu jardim quando com muito carinho das plantas e Flores garantindo que a natureza seja sempre bela, parece até mágica cuidar da nossa|aqui no meu jardim quando com muito carinho das plantas e Flores garantindo que a natureza seja sempre bela, parece até mágica cuidar da nossa
chunk_0030.wav|amigas plantas quando cuidamos elas podem crescer e Florescer é muito bonito! Vejam Só a natureza é mesmo mágica|amigas plantas quando cuidamos elas podem crescer e Florescer é muito bonito! Vejam Só a natureza é mesmo mágica
chunk_0031.wav|tuco e que linda flor eu adoro flores. Oi galerinha eu sou o mágico mais divertido do Pedaço aqui no meu palco|tuco e que linda flor eu adoro flores. Oi galerinha eu sou o mágico mais divertido do Pedaço aqui no meu palco
chunk_0032.wav|de mágica faça o truques que deixam todo mundo de queixo caído eu faço mágicas que ninguém consegue imaginar E agora vamos ao|de mágica faça o truques que deixam todo mundo de queixo caído eu faço mágicas que ninguém consegue imaginar E agora vamos ao
chunk_0033.wav|espetáculo mais esperado do dia. uau isso foi incrível obrigada Guga comer frutas é muito saudável|espetáculo mais esperado do dia. uau isso foi incrível obrigada Guga comer frutas é muito saudável
chunk_0034.wav|eu sou o Juba o leão policial o grande amigo e protetor da floresta eu ajudo a manter a floresta segura com minha coragem|eu sou o Juba o leão policial o grande amigo e protetor da floresta eu ajudo a manter a floresta segura com minha coragem
chunk_0035.wav|em determinação consigo correr bem rápido para manter todos em segurança Olhem só muito bem Juba isso muito|em determinação consigo correr bem rápido para manter todos em segurança Olhem só muito bem Juba isso muito
chunk_0036.wav|muito corajoso. ei pessoal eu sou o tromba o elefante bombeiro aqui no quartel dos bombeiros estamos sempre prontos para ajuda|muito corajoso. ei pessoal eu sou o tromba o elefante bombeiro aqui no quartel dos bombeiros estamos sempre prontos para ajuda
chunk_0037.wav|darem em emergências combater incêndios resgatar pessoas e animais em perigo e é o que fazemos de melhor e nada mais é importante|darem em emergências combater incêndios resgatar pessoas e animais em perigo e é o que fazemos de melhor e nada mais é importante
chunk_0038.wav|do que manter Nossa Floresta segura Olhem só como Agimos com rapidez os bombeiros são verdadeiros heróis Parabéns tromba!|do que manter Nossa Floresta segura Olhem só como Agimos com rapidez os bombeiros são verdadeiros heróis Parabéns tromba!
chunk_0039.wav|Esperamos que vocês tenham gostado do nosso apresentação de hoje é verdade todas as profissões são super legais e importantes para todos|Esperamos que vocês tenham gostado do nosso apresentação de hoje é verdade todas as profissões são super legais e importantes para todos
chunk_0040.wav|todos nos muito bem pessoal todas as apresentações foram fantásticas foi demais e agora que tal ouvir|todos nos muito bem pessoal todas as apresentações foram fantásticas foi demais e agora que tal ouvir
chunk_0041.wav|ouvimos a musiquinha casa da giramille vamos nessa mili amigos Mili Mili beijos para você olá mili amigo! Olá mili|ouvimos a musiquinha casa da giramille vamos nessa mili amigos Mili Mili beijos para você olá mili amigo! Olá mili
chunk_0042.wav|migos hoje Vamos ensinar para vocês sobre formas geométricas. formas geométricas? mas o que é isso?|migos hoje Vamos ensinar para vocês sobre formas geométricas. formas geométricas? mas o que é isso?
chunk_0043.wav|formas geométricas são os diferentes desenhos que podemos ver e Tocar em muitas coisas em nosso redor Por exemplo quando olhamos|formas geométricas são os diferentes desenhos que podemos ver e Tocar em muitas coisas em nosso redor Por exemplo quando olhamos
chunk_0044.wav|uma bola de futebol Estamos vendo uma forma chamada círculo, e sabe o que mais o cubo mágico que brincamos ele tem apena| uma bola de futebol Estamos vendo uma forma chamada círculo, e sabe o que mais o cubo mágico que brincamos ele tem apena
chunk_0045.wav|forma de um quadrado. Ah entendi Tim! e tem mais formas como triângulo que tem três lados podemos|forma de um quadrado. Ah entendi Tim! e tem mais formas como triângulo que tem três lados podemos
chunk_0046.wav|ângulos em fatias de pizza e não podemos esquecer do retângulo, são como os quadrados mas com um pouco mais de comprimento de um lado|ângulos em fatias de pizza e não podemos esquecer do retângulo, são como os quadrados mas com um pouco mais de comprimento de um lado
chunk_0047.wav|livros e portas são bom exemplos de retângulos, muito bem! e agora que tal brincar de uma coisa vou mostrar alguns objetos|livros e portas são bom exemplos de retângulos, muito bem! e agora que tal brincar de uma coisa vou mostrar alguns objetos
chunk_0048.wav|e vocês me dizem que forma eles têm eu topo estão prontos? vai ser muito divertido aprender sobre as formas geométri|e vocês me dizem que forma eles têm eu topo estão prontos? vai ser muito divertido aprender sobre as formas geométri
chunk_0049.wav|geométricas. Essa é a laranja, ela é tão saborosa e nutritiva também você sabe qual|geométricas. Essa é a laranja, ela é tão saborosa e nutritiva também você sabe qual
chunk_0050.wav|geométrica da laranja mili amigos, isso mesmo é um círculo parabéns! eu gosto muito dessa forma eu consigo usa|geométrica da laranja mili amigos, isso mesmo é um círculo parabéns! eu gosto muito dessa forma eu consigo usa
chunk_0051.wav|mussarela para brincar de bambolê brincar com as formas geométricas é muito divertido agora podemos ir para outras formas|mussarela para brincar de bambolê brincar com as formas geométricas é muito divertido agora podemos ir para outras formas
chunk_0052.wav|você consegue acertar Qual forma é essa? um piquenique é muito divertido. a toalha de piquenique é quada|você consegue acertar Qual forma é essa? um piquenique é muito divertido. a toalha de piquenique é quada
chunk_0053.wav|quadrada muito bem! parece que nosso mili amigo Ficou fera nas formas geométricas É verdade tromba mas agora vem|quadrada muito bem! parece que nosso mili amigo Ficou fera nas formas geométricas É verdade tromba mas agora vem
chunk_0054.wav|Desafio Final. adivinhe qual forma geométrica é essa. isso mesmo isso é bem parecido com quadrado ele é retangulo|Desafio Final. adivinhe qual forma geométrica é essa. isso mesmo isso é bem parecido com quadrado ele é retangulo
chunk_0055.wav|tangulo Parabéns Mili amigos. Viu só como aprender pode ser muito divertido, foi muito divertido mesmo tromba você|Parabéns Mili amigos. Viu só como aprender pode ser muito divertido, foi muito divertido mesmo tromba você
chunk_0056.wav|gostou de aprender com a gente? viva agora o que vocês acham de ouvir a musiquinha gira gira gira Mili vamos nessa|gostou de aprender com a gente? viva agora o que vocês acham de ouvir a musiquinha gira gira gira Mili vamos nessa
chunk_0057.wav|Mili Mili beijos para você. Nossa Olhem só, parece que meus dentes precisam de uma limpeza mas espera|Mili Mili beijos para você. Nossa Olhem só, parece que meus dentes precisam de uma limpeza mas espera
chunk_0058.wav|era como vou fazer isso? a escova sumiu não posso ficar sem escovar os meus dentes. posso ficar com cáries e mau hálito|era como vou fazer isso? a escova sumiu não posso ficar sem escovar os meus dentes. posso ficar com cáries e mau hálito
chunk_0059.wav|vamos comigo Mili amigos temos que procurar, ela deve estar em alguns lugar. Oi Tim Aconteceu algo terrível|vamos comigo Mili amigos temos que procurar, ela deve estar em alguns lugar. Oi Tim Aconteceu algo terrível
chunk_0060.wav|por acaso você viu as escovas de dente por aí? Meus dentinhos estão sujos e preciso escovar eles agora tromba que maneiro|por acaso você viu as escovas de dente por aí? Meus dentinhos estão sujos e preciso escovar eles agora tromba que maneiro
